filename,defect_type,prompt,LPIPS (defect),SSIM (background),PSNR (background)
defect (1),spot,a surface with spot defects,0.0001444976805942133,0.8754333862901665,34.655968949440904
defect (1022),bulge,a surface with bulge defects,0.00020030698215123266,0.8828699191758336,36.309107862293054
defect (1023),bulge,a surface with bulge defects,0.0003117884916719049,0.8607762081151137,36.089662968927954
defect (1203),scratch,a surface with scratch defects,6.786673475289717e-05,0.9426830862360237,38.318675621625715
defect (1208),spot,a surface with scratch defects and a surface with spot defects,0.0010146882850676775,0.7504140348630083,32.72098564029269
defect (1209),scratch,a surface with scratch defects,0.0018272027373313904,0.4918872636244651,28.02710182533222
defect (1210),spot,a surface with scratch defects and a surface with spot defects,0.0005202214233577251,0.5282615784539463,28.806846877352786
defect (1212),bulge,a surface with bulge defects,0.00025293140788562596,0.8166869106369038,34.63342259211382
defect (1213),bulge,a surface with bulge defects,0.00017049923189915717,0.7880373604602955,33.78445962457721
defect (1216),spot,a surface with bulge defects and a surface with spot defects,0.00042657661833800375,0.8664679689247201,36.46331424573398
defect (1217),spot,a surface with bulge defects and a surface with spot defects,0.0005560013232752681,0.8086756031013304,32.818418917829604
defect (1218),spot,a surface with bulge defects and a surface with spot defects,0.0007787137292325497,0.8072039566742037,33.530395899115334
defect (1219),bulge,a surface with bulge defects,0.0001173583950730972,0.7948772852711441,33.81217763015473
defect (1222),bulge,a surface with bulge defects,0.00012297052307985723,0.9424202131794872,38.474222240027196
defect (1223),scratch,a surface with bulge defects and a surface with scratch defects,0.00022490911942441016,0.9524636693839722,38.795668885508825
defect (1224),bulge,a surface with bulge defects,0.00020222591410856694,0.8734960571189604,34.540380959528356
defect (1225),dent,a surface with dent defects,0.0001562062097946182,0.7360713686605088,32.561907881227505
defect (1226),dent,a surface with dent defects,0.0001753391552483663,0.7818539465630482,34.00673260520596
defect (1227),dent,a surface with dent defects,5.616904309135862e-05,0.7930879838375856,34.30227284284117
defect (1273),spot,a surface with spot defects,0.00044190254993736744,0.7356719249779552,32.13053393198262
defect (136),dent,a surface with dent defects,0.0013351236702874303,0.8147800762676525,33.429423267835006
defect (137),dent,a surface with dent defects,0.0006121619371697307,0.8283180695941276,33.41759145395362
defect (138),dent,a surface with dent defects,0.00025197540526278317,0.8446920132627782,34.196624191773964
defect (139),dent,a surface with dent defects,0.0005230277311056852,0.8080544799529972,33.71346456311071
defect (140),dent,a surface with dent defects,0.00036145024932920933,0.9006535919552858,34.91216103280315
defect (141),dent,a surface with dent defects,0.00035063535324297845,0.7646684420366299,31.993499793203096
defect (142),dent,a surface with dent defects,0.000597480044234544,0.7819358522281487,32.30541128169195
